V (MPH);J;Pe;Ct;Cp;PWR (HP);Torque (IN.LBF);Thrust (LBF);DIAMETER (IN);PITCH (IN);TYPE;BLADE(nb);COMP;RPM
0.0;0.0;0.0;0.1102;0.0428;0.003;0.087;0.14;10;4.5;MR;2;1;2000
0.5;0.02;0.0621;0.1086;0.0432;0.003;0.088;0.138;10;4.5;MR;2;1;2000
0.9;0.05;0.1212;0.1068;0.0435;0.003;0.088;0.136;10;4.5;MR;2;1;2000
1.4;0.07;0.1774;0.105;0.0439;0.003;0.089;0.134;10;4.5;MR;2;1;2000
1.9;0.1;0.2305;0.103;0.0442;0.003;0.09;0.131;10;4.5;MR;2;1;2000
2.3;0.12;0.2806;0.1009;0.0444;0.003;0.09;0.129;10;4.5;MR;2;1;2000
2.8;0.15;0.3278;0.0985;0.0445;0.003;0.09;0.125;10;4.5;MR;2;1;2000
3.3;0.17;0.372;0.0958;0.0445;0.003;0.09;0.122;10;4.5;MR;2;1;2000
3.7;0.2;0.4132;0.093;0.0445;0.003;0.09;0.118;10;4.5;MR;2;1;2000
4.2;0.22;0.4512;0.0899;0.0443;0.003;0.09;0.115;10;4.5;MR;2;1;2000
4.7;0.25;0.4863;0.0867;0.044;0.003;0.089;0.11;10;4.5;MR;2;1;2000
5.1;0.27;0.5183;0.0832;0.0436;0.003;0.088;0.106;10;4.5;MR;2;1;2000
5.6;0.3;0.5472;0.0796;0.0431;0.003;0.087;0.101;10;4.5;MR;2;1;2000
6.1;0.32;0.5732;0.0759;0.0425;0.003;0.086;0.097;10;4.5;MR;2;1;2000
6.5;0.35;0.5964;0.072;0.0418;0.003;0.085;0.092;10;4.5;MR;2;1;2000
7.0;0.37;0.617;0.0681;0.0409;0.003;0.083;0.087;10;4.5;MR;2;1;2000
7.5;0.4;0.6351;0.0638;0.0397;0.003;0.081;0.081;10;4.5;MR;2;1;2000
8.0;0.42;0.6505;0.0594;0.0383;0.002;0.078;0.076;10;4.5;MR;2;1;2000
8.4;0.44;0.6635;0.0548;0.0367;0.002;0.075;0.07;10;4.5;MR;2;1;2000
8.9;0.47;0.674;0.0501;0.0349;0.002;0.071;0.064;10;4.5;MR;2;1;2000
9.4;0.49;0.6823;0.0456;0.033;0.002;0.067;0.058;10;4.5;MR;2;1;2000
9.8;0.52;0.6891;0.0417;0.0314;0.002;0.064;0.053;10;4.5;MR;2;1;2000
10.3;0.54;0.6928;0.0376;0.0295;0.002;0.06;0.048;10;4.5;MR;2;1;2000
10.8;0.57;0.6906;0.033;0.0271;0.002;0.055;0.042;10;4.5;MR;2;1;2000
11.2;0.59;0.6799;0.0278;0.0242;0.002;0.049;0.035;10;4.5;MR;2;1;2000
11.7;0.62;0.6561;0.0224;0.0211;0.001;0.043;0.029;10;4.5;MR;2;1;2000
12.2;0.64;0.6085;0.017;0.0179;0.001;0.036;0.022;10;4.5;MR;2;1;2000
12.6;0.67;0.5178;0.0114;0.0147;0.001;0.03;0.015;10;4.5;MR;2;1;2000
13.1;0.69;0.3462;0.0057;0.0114;0.001;0.023;0.007;10;4.5;MR;2;1;2000
13.6;0.72;-0.0085;-0.0001;0.0082;0.001;0.017;0.0;10;4.5;MR;2;1;2000
0.0;0.0;0.0;0.1122;0.0441;0.01;0.201;0.322;10;4.5;MR;2;1;3000
0.7;0.02;0.0603;0.1107;0.0445;0.01;0.203;0.317;10;4.5;MR;2;1;3000
1.4;0.05;0.118;0.109;0.0449;0.01;0.205;0.313;10;4.5;MR;2;1;3000
2.1;0.07;0.1728;0.1072;0.0451;0.01;0.206;0.307;10;4.5;MR;2;1;3000
2.8;0.1;0.2249;0.1052;0.0454;0.01;0.207;0.302;10;4.5;MR;2;1;3000
3.4;0.12;0.2743;0.103;0.0455;0.01;0.208;0.295;10;4.5;MR;2;1;3000
4.1;0.15;0.3209;0.1005;0.0456;0.01;0.208;0.288;10;4.5;MR;2;1;3000
4.8;0.17;0.3646;0.0979;0.0456;0.01;0.208;0.281;10;4.5;MR;2;1;3000
5.5;0.19;0.4055;0.095;0.0454;0.01;0.207;0.272;10;4.5;MR;2;1;3000
6.2;0.22;0.4436;0.0919;0.0452;0.01;0.206;0.263;10;4.5;MR;2;1;3000
6.9;0.24;0.4787;0.0886;0.0449;0.01;0.205;0.254;10;4.5;MR;2;1;3000
7.6;0.27;0.5111;0.0851;0.0444;0.01;0.203;0.244;10;4.5;MR;2;1;3000
8.3;0.29;0.5404;0.0815;0.0439;0.01;0.2;0.234;10;4.5;MR;2;1;3000
9.0;0.32;0.5669;0.0777;0.0432;0.009;0.197;0.223;10;4.5;MR;2;1;3000
9.6;0.34;0.5907;0.0737;0.0424;0.009;0.193;0.211;10;4.5;MR;2;1;3000
10.3;0.36;0.6118;0.0697;0.0415;0.009;0.189;0.2;10;4.5;MR;2;1;3000
11.0;0.39;0.6303;0.0655;0.0404;0.009;0.184;0.188;10;4.5;MR;2;1;3000
11.7;0.41;0.6465;0.0613;0.0391;0.008;0.178;0.176;10;4.5;MR;2;1;3000
12.4;0.44;0.6602;0.0568;0.0376;0.008;0.172;0.163;10;4.5;MR;2;1;3000
13.1;0.46;0.6715;0.0523;0.0359;0.008;0.164;0.15;10;4.5;MR;2;1;3000
13.8;0.49;0.6803;0.0476;0.034;0.007;0.155;0.137;10;4.5;MR;2;1;3000
14.5;0.51;0.6864;0.0428;0.0317;0.007;0.145;0.123;10;4.5;MR;2;1;3000
15.2;0.53;0.689;0.0378;0.0293;0.006;0.134;0.108;10;4.5;MR;2;1;3000
15.8;0.56;0.6863;0.0327;0.0266;0.006;0.121;0.094;10;4.5;MR;2;1;3000
16.5;0.58;0.6761;0.0275;0.0237;0.005;0.108;0.079;10;4.5;MR;2;1;3000
17.2;0.61;0.6544;0.0222;0.0205;0.004;0.094;0.064;10;4.5;MR;2;1;3000
17.9;0.63;0.6099;0.0167;0.0173;0.004;0.079;0.048;10;4.5;MR;2;1;3000
18.6;0.65;0.523;0.0113;0.0141;0.003;0.064;0.032;10;4.5;MR;2;1;3000
19.3;0.68;0.3552;0.0057;0.0108;0.002;0.05;0.016;10;4.5;MR;2;1;3000
20.0;0.7;-0.0018;0.0;0.0076;0.002;0.035;0.0;10;4.5;MR;2;1;3000
0.0;0.0;0.0;0.1123;0.0442;0.023;0.358;0.572;10;4.5;MR;2;1;4000
0.9;0.02;0.0595;0.1109;0.0446;0.023;0.362;0.565;10;4.5;MR;2;1;4000
1.8;0.05;0.1163;0.1092;0.0449;0.023;0.364;0.557;10;4.5;MR;2;1;4000
2.7;0.07;0.1705;0.1074;0.0452;0.023;0.366;0.547;10;4.5;MR;2;1;4000
3.6;0.1;0.222;0.1053;0.0454;0.023;0.368;0.537;10;4.5;MR;2;1;4000
4.5;0.12;0.2709;0.1031;0.0455;0.023;0.369;0.525;10;4.5;MR;2;1;4000
5.4;0.14;0.3171;0.1006;0.0455;0.023;0.369;0.513;10;4.5;MR;2;1;4000
6.3;0.17;0.3606;0.098;0.0455;0.023;0.369;0.499;10;4.5;MR;2;1;4000
7.2;0.19;0.4012;0.0951;0.0453;0.023;0.368;0.485;10;4.5;MR;2;1;4000
8.1;0.22;0.4391;0.0921;0.0451;0.023;0.366;0.469;10;4.5;MR;2;1;4000
9.1;0.24;0.4742;0.0888;0.0448;0.023;0.363;0.453;10;4.5;MR;2;1;4000
10.0;0.26;0.5065;0.0853;0.0443;0.023;0.359;0.435;10;4.5;MR;2;1;4000
10.9;0.29;0.5359;0.0817;0.0437;0.023;0.355;0.416;10;4.5;MR;2;1;4000
11.8;0.31;0.5624;0.0779;0.0431;0.022;0.349;0.397;10;4.5;MR;2;1;4000
12.7;0.33;0.5862;0.074;0.0423;0.022;0.343;0.377;10;4.5;MR;2;1;4000
13.6;0.36;0.6074;0.07;0.0413;0.021;0.335;0.357;10;4.5;MR;2;1;4000
14.5;0.38;0.6261;0.0659;0.0402;0.021;0.326;0.336;10;4.5;MR;2;1;4000
15.4;0.41;0.6424;0.0617;0.039;0.02;0.316;0.314;10;4.5;MR;2;1;4000
16.3;0.43;0.6562;0.0573;0.0375;0.019;0.305;0.292;10;4.5;MR;2;1;4000
17.2;0.45;0.6677;0.0527;0.0359;0.018;0.291;0.269;10;4.5;MR;2;1;4000
18.1;0.48;0.6768;0.0481;0.034;0.017;0.275;0.245;10;4.5;MR;2;1;4000
19.0;0.5;0.6833;0.0433;0.0318;0.016;0.258;0.221;10;4.5;MR;2;1;4000
19.9;0.53;0.6864;0.0383;0.0293;0.015;0.238;0.195;10;4.5;MR;2;1;4000
20.8;0.55;0.6845;0.0332;0.0266;0.014;0.216;0.169;10;4.5;MR;2;1;4000
21.7;0.57;0.6755;0.0279;0.0237;0.012;0.192;0.142;10;4.5;MR;2;1;4000
22.6;0.6;0.6552;0.0225;0.0205;0.011;0.166;0.115;10;4.5;MR;2;1;4000
23.5;0.62;0.6134;0.017;0.0172;0.009;0.14;0.087;10;4.5;MR;2;1;4000
24.4;0.65;0.5303;0.0114;0.0139;0.007;0.113;0.058;10;4.5;MR;2;1;4000
25.3;0.67;0.3642;0.0057;0.0105;0.005;0.086;0.029;10;4.5;MR;2;1;4000
26.3;0.69;-0.0043;0.0;0.0072;0.004;0.058;0.0;10;4.5;MR;2;1;4000
0.0;0.0;0.0;0.1125;0.0441;0.044;0.559;0.896;10;4.5;MR;2;1;5000
1.1;0.02;0.0593;0.1111;0.0445;0.045;0.564;0.885;10;4.5;MR;2;1;5000
2.2;0.05;0.116;0.1095;0.0448;0.045;0.568;0.872;10;4.5;MR;2;1;5000
3.4;0.07;0.1701;0.1076;0.0451;0.045;0.571;0.857;10;4.5;MR;2;1;5000
4.5;0.09;0.2216;0.1056;0.0452;0.045;0.573;0.841;10;4.5;MR;2;1;5000
5.6;0.12;0.2704;0.1033;0.0453;0.046;0.575;0.823;10;4.5;MR;2;1;5000
6.7;0.14;0.3166;0.1008;0.0454;0.046;0.575;0.803;10;4.5;MR;2;1;5000
7.9;0.17;0.3601;0.0982;0.0453;0.046;0.574;0.782;10;4.5;MR;2;1;5000
9.0;0.19;0.4009;0.0953;0.0451;0.045;0.572;0.759;10;4.5;MR;2;1;5000
10.1;0.21;0.439;0.0922;0.0449;0.045;0.569;0.735;10;4.5;MR;2;1;5000
11.2;0.24;0.4743;0.089;0.0445;0.045;0.565;0.709;10;4.5;MR;2;1;5000
12.4;0.26;0.5069;0.0855;0.0441;0.044;0.559;0.681;10;4.5;MR;2;1;5000
13.5;0.28;0.5366;0.0819;0.0435;0.044;0.551;0.652;10;4.5;MR;2;1;5000
14.6;0.31;0.5636;0.0781;0.0428;0.043;0.542;0.622;10;4.5;MR;2;1;5000
15.7;0.33;0.5878;0.0742;0.042;0.042;0.532;0.591;10;4.5;MR;2;1;5000
16.9;0.36;0.6096;0.0702;0.041;0.041;0.52;0.559;10;4.5;MR;2;1;5000
18.0;0.38;0.6288;0.066;0.0399;0.04;0.506;0.526;10;4.5;MR;2;1;5000
19.1;0.4;0.6455;0.0618;0.0386;0.039;0.49;0.492;10;4.5;MR;2;1;5000
20.2;0.43;0.6599;0.0574;0.0372;0.037;0.471;0.457;10;4.5;MR;2;1;5000
21.4;0.45;0.6719;0.0528;0.0355;0.036;0.45;0.421;10;4.5;MR;2;1;5000
22.5;0.47;0.6815;0.0481;0.0335;0.034;0.425;0.383;10;4.5;MR;2;1;5000
23.6;0.5;0.6884;0.0433;0.0313;0.032;0.397;0.345;10;4.5;MR;2;1;5000
24.7;0.52;0.6916;0.0383;0.0289;0.029;0.366;0.305;10;4.5;MR;2;1;5000
25.9;0.55;0.69;0.0331;0.0262;0.026;0.332;0.264;10;4.5;MR;2;1;5000
27.0;0.57;0.6814;0.0278;0.0232;0.023;0.295;0.221;10;4.5;MR;2;1;5000
28.1;0.59;0.661;0.0224;0.0201;0.02;0.255;0.179;10;4.5;MR;2;1;5000
29.2;0.62;0.6195;0.0169;0.0169;0.017;0.214;0.135;10;4.5;MR;2;1;5000
30.4;0.64;0.5368;0.0114;0.0136;0.014;0.172;0.091;10;4.5;MR;2;1;5000
31.5;0.66;0.3698;0.0057;0.0103;0.01;0.13;0.046;10;4.5;MR;2;1;5000
32.6;0.69;-0.0026;0.0;0.0071;0.007;0.089;0.0;10;4.5;MR;2;1;5000
0.0;0.0;0.0;0.1126;0.0432;0.075;0.789;1.292;10;4.5;MR;2;1;6000
1.3;0.02;0.0601;0.1112;0.0436;0.076;0.796;1.275;10;4.5;MR;2;1;6000
2.7;0.05;0.1174;0.1096;0.044;0.076;0.803;1.257;10;4.5;MR;2;1;6000
4.0;0.07;0.172;0.1078;0.0443;0.077;0.808;1.236;10;4.5;MR;2;1;6000
5.4;0.09;0.224;0.1057;0.0445;0.077;0.812;1.213;10;4.5;MR;2;1;6000
6.7;0.12;0.2734;0.1035;0.0446;0.078;0.814;1.187;10;4.5;MR;2;1;6000
8.0;0.14;0.3201;0.1011;0.0446;0.078;0.815;1.159;10;4.5;MR;2;1;6000
9.4;0.16;0.3641;0.0984;0.0446;0.077;0.814;1.129;10;4.5;MR;2;1;6000
10.7;0.19;0.4055;0.0956;0.0444;0.077;0.811;1.096;10;4.5;MR;2;1;6000
12.1;0.21;0.4443;0.0925;0.0442;0.077;0.806;1.061;10;4.5;MR;2;1;6000
13.4;0.24;0.4804;0.0893;0.0438;0.076;0.799;1.024;10;4.5;MR;2;1;6000
14.7;0.26;0.5139;0.0858;0.0433;0.075;0.79;0.984;10;4.5;MR;2;1;6000
16.1;0.28;0.5448;0.0822;0.0427;0.074;0.779;0.943;10;4.5;MR;2;1;6000
17.4;0.31;0.573;0.0784;0.0419;0.073;0.765;0.899;10;4.5;MR;2;1;6000
18.7;0.33;0.5986;0.0745;0.0411;0.071;0.75;0.854;10;4.5;MR;2;1;6000
20.1;0.35;0.6218;0.0705;0.0401;0.07;0.731;0.808;10;4.5;MR;2;1;6000
21.4;0.38;0.6425;0.0663;0.0389;0.068;0.71;0.76;10;4.5;MR;2;1;6000
22.8;0.4;0.6606;0.062;0.0376;0.065;0.687;0.711;10;4.5;MR;2;1;6000
24.1;0.42;0.6762;0.0576;0.0362;0.063;0.66;0.661;10;4.5;MR;2;1;6000
25.4;0.45;0.6894;0.0531;0.0345;0.06;0.629;0.609;10;4.5;MR;2;1;6000
26.8;0.47;0.7001;0.0483;0.0326;0.057;0.594;0.554;10;4.5;MR;2;1;6000
28.1;0.49;0.7075;0.0435;0.0304;0.053;0.555;0.499;10;4.5;MR;2;1;6000
29.5;0.52;0.711;0.0385;0.0281;0.049;0.512;0.441;10;4.5;MR;2;1;6000
30.8;0.54;0.7097;0.0333;0.0254;0.044;0.464;0.382;10;4.5;MR;2;1;6000
32.1;0.57;0.7011;0.028;0.0226;0.039;0.412;0.321;10;4.5;MR;2;1;6000
33.5;0.59;0.6802;0.0226;0.0196;0.034;0.357;0.259;10;4.5;MR;2;1;6000
34.8;0.61;0.6382;0.0171;0.0164;0.028;0.299;0.196;10;4.5;MR;2;1;6000
36.2;0.64;0.5547;0.0115;0.0131;0.023;0.24;0.131;10;4.5;MR;2;1;6000
37.5;0.66;0.3835;0.0058;0.0099;0.017;0.181;0.066;10;4.5;MR;2;1;6000
38.8;0.68;-0.0012;0.0;0.0069;0.012;0.126;0.0;10;4.5;MR;2;1;6000
0.0;0.0;0.0;0.1129;0.0426;0.118;1.058;1.762;10;4.5;MR;2;1;7000
1.6;0.02;0.0611;0.1115;0.043;0.119;1.069;1.74;10;4.5;MR;2;1;7000
3.1;0.05;0.1194;0.1099;0.0434;0.12;1.079;1.715;10;4.5;MR;2;1;7000
4.7;0.07;0.1748;0.1081;0.0437;0.121;1.087;1.687;10;4.5;MR;2;1;7000
6.3;0.09;0.2275;0.106;0.044;0.121;1.092;1.655;10;4.5;MR;2;1;7000
7.8;0.12;0.2775;0.1038;0.0441;0.122;1.096;1.62;10;4.5;MR;2;1;7000
9.4;0.14;0.3249;0.1013;0.0441;0.122;1.097;1.581;10;4.5;MR;2;1;7000
10.9;0.17;0.3696;0.0986;0.0441;0.122;1.095;1.539;10;4.5;MR;2;1;7000
12.5;0.19;0.4116;0.0957;0.0439;0.121;1.091;1.494;10;4.5;MR;2;1;7000
14.1;0.21;0.4511;0.0927;0.0436;0.12;1.084;1.447;10;4.5;MR;2;1;7000
15.6;0.24;0.4881;0.0894;0.0432;0.119;1.074;1.395;10;4.5;MR;2;1;7000
17.2;0.26;0.5225;0.0859;0.0427;0.118;1.06;1.341;10;4.5;MR;2;1;7000
18.8;0.28;0.5544;0.0822;0.042;0.116;1.043;1.284;10;4.5;MR;2;1;7000
20.3;0.31;0.5838;0.0784;0.0412;0.114;1.023;1.224;10;4.5;MR;2;1;7000
21.9;0.33;0.6106;0.0745;0.0403;0.111;1.001;1.162;10;4.5;MR;2;1;7000
23.5;0.35;0.635;0.0704;0.0392;0.108;0.974;1.098;10;4.5;MR;2;1;7000
25.0;0.38;0.657;0.0661;0.038;0.105;0.944;1.032;10;4.5;MR;2;1;7000
26.6;0.4;0.6762;0.0618;0.0366;0.101;0.91;0.964;10;4.5;MR;2;1;7000
28.2;0.42;0.6929;0.0573;0.0351;0.097;0.873;0.895;10;4.5;MR;2;1;7000
29.7;0.45;0.7071;0.0527;0.0334;0.092;0.83;0.823;10;4.5;MR;2;1;7000
31.3;0.47;0.7184;0.048;0.0315;0.087;0.782;0.748;10;4.5;MR;2;1;7000
32.8;0.5;0.7258;0.0431;0.0294;0.081;0.731;0.673;10;4.5;MR;2;1;7000
34.4;0.52;0.7292;0.0381;0.0271;0.075;0.673;0.595;10;4.5;MR;2;1;7000
36.0;0.54;0.7277;0.0329;0.0246;0.068;0.61;0.514;10;4.5;MR;2;1;7000
37.5;0.57;0.7182;0.0277;0.0218;0.06;0.542;0.432;10;4.5;MR;2;1;7000
39.1;0.59;0.6961;0.0223;0.0189;0.052;0.469;0.348;10;4.5;MR;2;1;7000
40.7;0.61;0.6524;0.0169;0.0159;0.044;0.394;0.263;10;4.5;MR;2;1;7000
42.2;0.64;0.5658;0.0113;0.0127;0.035;0.317;0.177;10;4.5;MR;2;1;7000
43.8;0.66;0.3894;0.0057;0.0097;0.027;0.24;0.089;10;4.5;MR;2;1;7000
45.4;0.68;-0.0005;0.0;0.0068;0.019;0.168;0.0;10;4.5;MR;2;1;7000
0.0;0.0;0.0;0.1132;0.0421;0.173;1.366;2.309;10;4.5;MR;2;1;8000
1.8;0.02;0.0622;0.1118;0.0426;0.175;1.382;2.28;10;4.5;MR;2;1;8000
3.6;0.05;0.1214;0.1102;0.043;0.177;1.396;2.247;10;4.5;MR;2;1;8000
5.4;0.07;0.1777;0.1084;0.0434;0.179;1.407;2.21;10;4.5;MR;2;1;8000
7.2;0.09;0.2311;0.1064;0.0436;0.18;1.415;2.168;10;4.5;MR;2;1;8000
9.0;0.12;0.2818;0.1041;0.0437;0.18;1.419;2.122;10;4.5;MR;2;1;8000
10.8;0.14;0.3298;0.1016;0.0438;0.18;1.42;2.071;10;4.5;MR;2;1;8000
12.6;0.17;0.3751;0.0989;0.0437;0.18;1.418;2.016;10;4.5;MR;2;1;8000
14.4;0.19;0.4178;0.096;0.0435;0.179;1.412;1.957;10;4.5;MR;2;1;8000
16.1;0.21;0.458;0.0929;0.0432;0.178;1.402;1.893;10;4.5;MR;2;1;8000
17.9;0.24;0.4957;0.0896;0.0428;0.176;1.388;1.826;10;4.5;MR;2;1;8000
19.7;0.26;0.531;0.086;0.0422;0.174;1.369;1.754;10;4.5;MR;2;1;8000
21.5;0.28;0.5638;0.0823;0.0415;0.171;1.346;1.678;10;4.5;MR;2;1;8000
23.3;0.31;0.5942;0.0784;0.0406;0.167;1.318;1.598;10;4.5;MR;2;1;8000
25.1;0.33;0.6221;0.0744;0.0396;0.163;1.287;1.517;10;4.5;MR;2;1;8000
26.9;0.36;0.6476;0.0702;0.0385;0.159;1.249;1.431;10;4.5;MR;2;1;8000
28.7;0.38;0.6707;0.0659;0.0372;0.153;1.208;1.344;10;4.5;MR;2;1;8000
30.5;0.4;0.6909;0.0615;0.0358;0.148;1.163;1.254;10;4.5;MR;2;1;8000
32.3;0.43;0.7084;0.057;0.0343;0.141;1.112;1.161;10;4.5;MR;2;1;8000
34.1;0.45;0.7235;0.0522;0.0325;0.134;1.054;1.065;10;4.5;MR;2;1;8000
35.9;0.47;0.7351;0.0474;0.0306;0.126;0.991;0.967;10;4.5;MR;2;1;8000
37.7;0.5;0.7421;0.0425;0.0285;0.117;0.924;0.866;10;4.5;MR;2;1;8000
39.5;0.52;0.7453;0.0374;0.0262;0.108;0.849;0.763;10;4.5;MR;2;1;8000
41.3;0.54;0.743;0.0323;0.0237;0.098;0.769;0.659;10;4.5;MR;2;1;8000
43.1;0.57;0.7325;0.0271;0.021;0.087;0.683;0.553;10;4.5;MR;2;1;8000
44.9;0.59;0.7088;0.0218;0.0182;0.075;0.592;0.445;10;4.5;MR;2;1;8000
46.6;0.62;0.6634;0.0165;0.0154;0.063;0.498;0.337;10;4.5;MR;2;1;8000
48.4;0.64;0.5734;0.0111;0.0124;0.051;0.402;0.227;10;4.5;MR;2;1;8000
50.2;0.66;0.3933;0.0056;0.0095;0.039;0.307;0.114;10;4.5;MR;2;1;8000
52.0;0.69;-0.0015;0.0;0.0066;0.027;0.215;0.0;10;4.5;MR;2;1;8000
0.0;0.0;0.0;0.1143;0.0452;0.265;1.858;2.949;10;4.5;MR;2;1;9000
2.0;0.02;0.0591;0.1128;0.0452;0.265;1.858;2.911;10;4.5;MR;2;1;9000
4.0;0.05;0.1166;0.1112;0.0452;0.265;1.856;2.869;10;4.5;MR;2;1;9000
6.1;0.07;0.1723;0.1093;0.0451;0.265;1.853;2.821;10;4.5;MR;2;1;9000
8.1;0.09;0.2261;0.1072;0.045;0.264;1.846;2.767;10;4.5;MR;2;1;9000
10.1;0.12;0.2778;0.1049;0.0447;0.262;1.837;2.706;10;4.5;MR;2;1;9000
12.1;0.14;0.3271;0.1023;0.0445;0.261;1.827;2.64;10;4.5;MR;2;1;9000
14.1;0.17;0.3738;0.0995;0.0442;0.259;1.814;2.568;10;4.5;MR;2;1;9000
16.2;0.19;0.4178;0.0965;0.0438;0.257;1.799;2.49;10;4.5;MR;2;1;9000
18.2;0.21;0.4591;0.0933;0.0434;0.254;1.781;2.408;10;4.5;MR;2;1;9000
20.2;0.24;0.4978;0.0899;0.0428;0.251;1.758;2.32;10;4.5;MR;2;1;9000
22.2;0.26;0.5339;0.0863;0.0422;0.247;1.732;2.228;10;4.5;MR;2;1;9000
24.2;0.28;0.5673;0.0825;0.0414;0.243;1.699;2.13;10;4.5;MR;2;1;9000
26.3;0.31;0.5982;0.0786;0.0405;0.237;1.663;2.028;10;4.5;MR;2;1;9000
28.3;0.33;0.6266;0.0746;0.0395;0.232;1.622;1.924;10;4.5;MR;2;1;9000
30.3;0.36;0.6527;0.0704;0.0383;0.225;1.574;1.815;10;4.5;MR;2;1;9000
32.3;0.38;0.6763;0.066;0.037;0.217;1.52;1.703;10;4.5;MR;2;1;9000
34.3;0.4;0.6971;0.0616;0.0356;0.209;1.462;1.589;10;4.5;MR;2;1;9000
36.4;0.43;0.7154;0.057;0.034;0.199;1.397;1.472;10;4.5;MR;2;1;9000
38.4;0.45;0.7311;0.0523;0.0322;0.189;1.323;1.35;10;4.5;MR;2;1;9000
40.4;0.47;0.7435;0.0475;0.0303;0.178;1.243;1.225;10;4.5;MR;2;1;9000
42.4;0.5;0.7514;0.0425;0.0282;0.165;1.157;1.098;10;4.5;MR;2;1;9000
44.4;0.52;0.7555;0.0375;0.0259;0.152;1.063;0.968;10;4.5;MR;2;1;9000
46.5;0.55;0.7541;0.0324;0.0234;0.137;0.962;0.836;10;4.5;MR;2;1;9000
48.5;0.57;0.7446;0.0272;0.0208;0.122;0.854;0.702;10;4.5;MR;2;1;9000
50.5;0.59;0.7219;0.022;0.018;0.106;0.74;0.567;10;4.5;MR;2;1;9000
52.5;0.62;0.6767;0.0166;0.0151;0.089;0.621;0.428;10;4.5;MR;2;1;9000
54.5;0.64;0.5866;0.0112;0.0122;0.071;0.5;0.288;10;4.5;MR;2;1;9000
56.6;0.66;0.4031;0.0056;0.0092;0.054;0.379;0.145;10;4.5;MR;2;1;9000
58.6;0.69;-0.0004;0.0;0.0064;0.038;0.263;0.0;10;4.5;MR;2;1;9000
0.0;0.0;0.0;0.1154;0.0485;0.39;2.458;3.675;10;4.5;MR;2;1;10000
2.2;0.02;0.0563;0.1139;0.048;0.386;2.432;3.628;10;4.5;MR;2;1;10000
4.5;0.05;0.1122;0.1122;0.0474;0.382;2.405;3.574;10;4.5;MR;2;1;10000
6.7;0.07;0.1674;0.1103;0.0469;0.377;2.378;3.514;10;4.5;MR;2;1;10000
9.0;0.09;0.2214;0.1081;0.0464;0.373;2.35;3.444;10;4.5;MR;2;1;10000
11.2;0.12;0.274;0.1057;0.0458;0.368;2.321;3.367;10;4.5;MR;2;1;10000
13.5;0.14;0.3245;0.1031;0.0452;0.364;2.292;3.283;10;4.5;MR;2;1;10000
15.7;0.17;0.3725;0.1002;0.0447;0.359;2.265;3.192;10;4.5;MR;2;1;10000
18.0;0.19;0.4178;0.0971;0.0441;0.355;2.238;3.094;10;4.5;MR;2;1;10000
20.2;0.21;0.4601;0.0939;0.0436;0.35;2.209;2.99;10;4.5;MR;2;1;10000
22.5;0.24;0.4997;0.0904;0.0429;0.345;2.176;2.879;10;4.5;MR;2;1;10000
24.7;0.26;0.5365;0.0867;0.0422;0.339;2.139;2.763;10;4.5;MR;2;1;10000
27.0;0.28;0.5705;0.0829;0.0414;0.333;2.097;2.64;10;4.5;MR;2;1;10000
29.2;0.31;0.6018;0.0789;0.0404;0.325;2.05;2.513;10;4.5;MR;2;1;10000
31.5;0.33;0.6307;0.0748;0.0394;0.317;1.998;2.383;10;4.5;MR;2;1;10000
33.7;0.36;0.6573;0.0706;0.0382;0.307;1.937;2.248;10;4.5;MR;2;1;10000
36.0;0.38;0.6814;0.0662;0.0369;0.297;1.869;2.108;10;4.5;MR;2;1;10000
38.2;0.4;0.7029;0.0617;0.0354;0.285;1.795;1.966;10;4.5;MR;2;1;10000
40.4;0.43;0.7218;0.0571;0.0338;0.272;1.713;1.819;10;4.5;MR;2;1;10000
42.7;0.45;0.7382;0.0524;0.032;0.257;1.622;1.669;10;4.5;MR;2;1;10000
44.9;0.47;0.7512;0.0476;0.0301;0.242;1.524;1.515;10;4.5;MR;2;1;10000
47.2;0.5;0.76;0.0426;0.028;0.225;1.417;1.358;10;4.5;MR;2;1;10000
49.4;0.52;0.765;0.0376;0.0257;0.206;1.301;1.198;10;4.5;MR;2;1;10000
51.7;0.55;0.7644;0.0325;0.0232;0.186;1.175;1.034;10;4.5;MR;2;1;10000
53.9;0.57;0.7555;0.0273;0.0205;0.165;1.042;0.868;10;4.5;MR;2;1;10000
56.2;0.59;0.7335;0.022;0.0178;0.143;0.902;0.7;10;4.5;MR;2;1;10000
58.4;0.62;0.6884;0.0166;0.0149;0.12;0.755;0.529;10;4.5;MR;2;1;10000
60.7;0.64;0.5976;0.0112;0.012;0.096;0.607;0.356;10;4.5;MR;2;1;10000
62.9;0.66;0.4114;0.0056;0.0091;0.073;0.46;0.179;10;4.5;MR;2;1;10000
65.2;0.69;-0.0026;0.0;0.0063;0.05;0.318;-0.001;10;4.5;MR;2;1;10000
0.0;0.0;0.0;0.1165;0.0517;0.554;3.173;4.491;10;4.5;MR;2;1;11000
2.5;0.02;0.0538;0.115;0.0507;0.543;3.111;4.432;10;4.5;MR;2;1;11000
4.9;0.05;0.1082;0.1133;0.0497;0.532;3.05;4.366;10;4.5;MR;2;1;11000
7.4;0.07;0.1627;0.1113;0.0487;0.522;2.991;4.291;10;4.5;MR;2;1;11000
