% Model:              ThermalResistanceInductor_AR.mph
% Version:            COMSOL 5.3.1.275
% Date:               Feb 20 2019, 19:06
% Table:              Table 1 - Perte totale (ht.QInt)
% d                      lambda_wind              e                        LAMBDA_FERRITE           Total_heat_source (W)    Temperature (K)
0.15                     2.9999999999999996       1.0E-4                   5                        120.93980706847033       381.64035362288786
0.08727161387290326      2.9999999999999996       1.0E-4                   5                        23.835969461590185       327.7753518807318
0.050775563919874075     2.9999999999999996       1.0E-4                   5                        4.700289555604165        309.477255266224
0.08727161387290326      2.9999999999999996       2.5118864315095795E-4    5                        23.899105628549865       328.2206962433743
0.050775563919874075     2.9999999999999996       2.5118864315095795E-4    5                        4.7216613854786065       309.70477028623804
0.029541769390627783     2.9999999999999996       2.5118864315095795E-4    5                        0.9349346332753018       303.35958429018024
0.01718771927587479      2.9999999999999996       2.5118864315095795E-4    5                        0.18583228473022925      301.17346917456456
0.029541769390627783     2.9999999999999996       6.30957344480193E-4      5                        0.9531067369059993       303.5704917775765
0.01718771927587479      2.9999999999999996       6.30957344480193E-4      5                        0.1919836101265477       301.2811694216945
0.01                     2.9999999999999996       6.30957344480193E-4      5                        0.0392569615708448       300.4739429573173
0.01718771927587479      2.9999999999999996       0.001584893192461114     5                        0.20743504092537593      301.53063826837075
0.15                     1.5194870523363546       1.0E-4                   5                        120.93980706846668       396.33637609227014
0.08727161387290326      1.5194870523363546       1.0E-4                   5                        23.83596946159014        332.8021780030733
0.15                     1.5194870523363546       2.5118864315095795E-4    5                        121.12632247693412       397.5004858927995
0.08727161387290326      1.5194870523363546       2.5118864315095795E-4    5                        23.899105628550302       333.42990730773755
0.050775563919874075     1.5194870523363546       2.5118864315095795E-4    5                        4.721661385479           311.53585596394515
0.029541769390627783     1.5194870523363546       2.5118864315095795E-4    5                        0.9349346332752879       304.01477689974473
0.01718771927587479      1.5194870523363546       2.5118864315095795E-4    5                        0.18583228473018268      301.4127577320045
0.029541769390627783     1.5194870523363546       6.30957344480193E-4      5                        0.95310673690602         304.32620894390277
0.01718771927587479      1.5194870523363546       6.30957344480193E-4      5                        0.19198361012658446      301.56848069036545
0.01                     1.5194870523363546       6.30957344480193E-4      5                        0.039256961570882556     300.58690095437186
0.01718771927587479      1.5194870523363546       0.001584893192461114     5                        0.20743504092539722      301.91056314783407
0.15                     0.7696136340726077       1.0E-4                   5                        120.93980706846243       412.4246179332264
0.08727161387290326      0.7696136340726077       1.0E-4                   5                        23.83596946158995        338.29095106438865
0.050775563919874075     0.7696136340726077       1.0E-4                   5                        4.7002895556039945       313.09127151772293
0.08727161387290326      0.7696136340726077       2.5118864315095795E-4    5                        23.89910562855042        339.0754808435857
